Meal Name,Protein,Outside,Mexican
Beef Tacos,Beef,No,Yes
Fish Stick Tacos,Fish,No,Yes
Chicken Tacos,Chicken,No,Yes
Pulled Chicken Burritos,Chicken,No,Yes
Rib Burritos,Pork,No,Yes
Pulled Pork Burritos,Pork,No,Yes
Quesadillas,Other,No,Yes
Smoked Ribs,Pork,Yes,No
Pulled Pork,Pork,No,No
Sausage Skillet Meal,Pork,No,No
Grilled Chicken,Chicken,Yes,No
Grilled Pork Chops,Pork,Yes,No
Grilled Fish,Fish,Yes,No
Baked Chicken,Chicken,No,No
Baked Pork Chops,Pork,No,No
BLT Sandwiches,Pork,No,No
Breakfast for Dinner,Other,No,No
